fips,addressCounty,addressState,Total,C18 Total,C93 Total,C25 Total,C61 Total,C64 Total,C54 Total,C85 Total,C73 Total,C91 Total,C43 Total,C50 Total,C34 Total,C92 Total,C67 Total
20173,Sedgwick County,KS,12.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0
02020,Anchorage,AK,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
21067,Fayette County,KY,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
21111,Jefferson County,KY,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
21195,Pike County,KY,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22009,Avoyelles Parish,LA,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22011,Beauregard Parish,LA,97.0,6.0,0.0,6.0,17.0,3.0,1.0,5.0,4.0,0.0,3.0,30.0,17.0,3.0,2.0
22015,Bossier Parish,LA,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0
22017,Caddo Parish,LA,455.0,52.0,0.0,115.0,39.0,12.0,14.0,10.0,46.0,3.0,2.0,69.0,82.0,2.0,9.0
22019,Calcasieu Parish,LA,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
22027,Claiborne Parish,LA,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
22033,East Baton Rouge Parish,LA,16.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,1.0,2.0
22035,East Carroll Parish,LA,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
